     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3936500 2463500  1  7 21   0.0  991  90  3.3 6  3.4  88    0    0 278 -315  2
3936500 2463500  1  7 22  -0.4  991  85  3.5 6  3.3  87    0    0 279 -315  2
3936500 2463500  1  7 23  -1.5  991 108  3.2 6  3.2  88    0    0 276 -314  2
3936500 2463500  1  7 24  -2.4  991  39  3.5 1  3.1  92    0    0 246 -312  2
3936500 2463500  1  8  1  -2.5  991  32  2.5 3  3.0  94    0    0 229 -310  2
3936500 2463500  1  8  2  -3.2  991  35  2.3 3  3.0  95    0    0 239 -310  2
3936500 2463500  1  8  3  -3.6  991  96  2.6 4  2.9  96    0    0 241 -309  2
3936500 2463500  1  8  4  -4.1  991 102  2.3 5  2.8  96    0    0 250 -307  2
3936500 2463500  1  8  5  -4.9  992 318  2.2 5  2.7  97    0    0 253 -305  2
3936500 2463500  1  8  6  -3.6  992 112  2.1 6  2.8  98    0    0 259 -301  2
3936500 2463500  1  8  7  -3.3  993 154  1.9 8  2.9  95    0    0 277 -294  2
3936500 2463500  1  8  8  -3.4  993 188  2.0 8  2.8  94    0    0 288 -288  2
3936500 2463500  1  8  9  -3.6  994 155  2.6 8  2.8  94    0   10 288 -285  2
3936500 2463500  1  8 10  -3.7  995 149  2.9 7  2.8  94   16   47 282 -284  2
3936500 2463500  1  8 11  -3.4  996 172  3.0 7  2.8  94    2   75 276 -286  2
3936500 2463500  1  8 12  -2.8  996 138  2.6 7  2.8  92    0   65 277 -289  2
3936500 2463500  1  8 13  -2.6  996 138  2.6 7  2.8  90    0   70 277 -293  2
3936500 2463500  1  8 14  -2.3  996 101  1.9 7  2.8  87    0   68 277 -294  2
3936500 2463500  1  8 15  -2.0  996  61  1.9 7  2.8  84   16   83 278 -294  2
3936500 2463500  1  8 16  -1.9  996 344  2.1 6  2.7  81   54   32 273 -293  2
3936500 2463500  1  8 17  -3.1  996 333  2.1 6  2.6  82    6   10 265 -290  2
3936500 2463500  1  8 18  -3.7  996 303  1.8 7  2.6  88    0    0 268 -288  2
3936500 2463500  1  8 19  -3.9  996 107  1.7 4  2.6  88    0    0 257 -286  2
3936500 2463500  1  8 20  -4.8  996 103  2.1 3  2.5  89    0    0 234 -285  2
3936500 2463500  1  8 21  -5.8  996  73  1.7 2  2.4  91    0    0 223 -284  2
3936500 2463500  1  8 22  -6.2  996 138  2.1 2  2.3  92    0    0 217 -283  2
3936500 2463500  1  8 23  -6.4  997  98  1.8 2  2.2  93    0    0 216 -282  2
3936500 2463500  1  8 24  -6.6  997  98  1.9 2  2.2  93    0    0 215 -282  2
3936500 2463500  1  9  1  -7.1  997  72  1.6 1  2.1  93    0    0 210 -282  2
3936500 2463500  1  9  2  -9.0  997 109  1.4 1  2.0  94    0    0 202 -282  2
3936500 2463500  1  9  3 -10.2  996 282  1.4 1  1.8  95    0    0 197 -281  2
3936500 2463500  1  9  4 -10.5  997  66  1.5 0  1.7  97    0    0 191 -281  2
3936500 2463500  1  9  5  -9.0  997 206  1.4 0  1.8  97    0    0 188 -280  2
3936500 2463500  1  9  6  -9.1  998 303  1.1 2  1.9  96    0    0 199 -281  2
3936500 2463500  1  9  7  -9.3  998 266  1.2 2  1.8  96    0    0 206 -281  2
3936500 2463500  1  9  8  -9.6  997 168  1.4 4  1.8  94    0    0 213 -282  2
3936500 2463500  1  9  9 -10.0  998 330  0.9 4  1.7  95    4   10 219 -282  2
3936500 2463500  1  9 10  -9.2  998  62  1.0 2  1.8  97   68   35 209 -283  2
3936500 2463500  1  9 11  -7.9 1000   6  1.3 2  1.9  95  133   57 203 -286  2
3936500 2463500  1  9 12  -6.3 1000 351  1.5 1  2.1  91  131   96 202 -290  2
3936500 2463500  1  9 13  -5.0 1000 304  1.4 1  2.2  86  145  103 201 -294  2
3936500 2463500  1  9 14  -3.8  999 329  1.2 1  2.3  82  146   92 204 -295  2
3936500 2463500  1  9 15  -3.7  999 304  1.3 0  2.3  78  123   67 203 -293  2
3936500 2463500  1  9 16  -4.1  999 326  1.0 1  2.2  78   68   41 203 -287  2
3936500 2463500  1  9 17  -5.5  999 108  1.2 0  2.2  82    6   13 201 -277  2
3936500 2463500  1  9 18  -6.8  999 322  1.3 0  2.2  90    0    0 197 -268  2
3936500 2463500  1  9 19  -8.2  999 292  1.5 1  2.1  97    0    0 195 -268  2
3936500 2463500  1  9 20  -9.0  999 263  1.2 1  2.0 100    0    0 193 -276  2
3936500 2463500  1  9 21  -9.8  998 274  1.3 3  1.9 100    0    0 194 -281  2
3936500 2463500  1  9 22  -9.2  998 255  1.4 3  1.9 100    0    0 198 -283  2
3936500 2463500  1  9 23  -9.2  998 275  1.4 3  1.9 100    0    0 199 -286  2
3936500 2463500  1  9 24 -10.2  998 285  1.6 1  1.8 100    0    0 193 -288  2
3936500 2463500  1 10  1 -10.3  998 287  1.4 0  1.8 100    0    0 185 -289  2
3936500 2463500  1 10  2 -10.0  998 286  1.2 0  1.8 100    0    0 182 -289  2
3936500 2463500  1 10  3 -10.5  998 205  1.1 0  1.8 100    0    0 182 -289  2
3936500 2463500  1 10  4 -10.6  998 266  1.1 1  1.7 100    0    0 184 -288  2
3936500 2463500  1 10  5 -10.5  998  66  1.0 5  1.7 100    0    0 196 -288  2
3936500 2463500  1 10  6  -9.7  997  63  1.2 5  1.8 100    0    0 208 -288  2
3936500 2463500  1 10  7 -10.7  997   1  1.1 4  1.8  99    0    0 206 -289  2
3936500 2463500  1 10  8 -11.7  997  22  1.2 3  1.6  98    0    0 199 -292  2
3936500 2463500  1 10  9 -11.6  998 333  1.1 3  1.5  97    1   11 196 -295  2
3936500 2463500  1 10 10 -10.9  998 347  1.1 2  1.6  96   53   47 197 -298  2
3936500 2463500  1 10 11  -9.7  998  59  1.1 3  1.7  98  120   74 199 -301  2
3936500 2463500  1 10 12  -8.0  999  61  1.2 2  1.9  98  145  101 205 -304  2
3936500 2463500  1 10 13  -6.7  998  66  1.4 2  2.1  97  139  118 208 -307  2
3936500 2463500  1 10 14  -6.0  997  15  1.6 2  2.2  94   98  123 212 -309  2
3936500 2463500  1 10 15  -4.5  996  54  1.3 1  2.3  88  113   82 213 -310  2
3936500 2463500  1 10 16  -4.8  996  35  1.3 2  2.2  82   78   43 216 -308  2
3936500 2463500  1 10 17  -5.9  996 332  1.1 3  2.2  83    5   16 220 -305  2
3936500 2463500  1 10 18  -7.0  996 300  1.1 3  2.1  88    0    0 219 -302  2
3936500 2463500  1 10 19  -8.3  996 281  1.6 3  2.0  94    0    0 216 -299  2
3936500 2463500  1 10 20  -9.2  996 319  1.4 3  1.9  97    0    0 211 -301  2
3936500 2463500  1 10 21 -10.1  996  66  0.9 3  1.8  99    0    0 207 -305  2
3936500 2463500  1 10 22 -10.2  995 324  0.9 4  1.7  98    0    0 209 -307  2
3936500 2463500  1 10 23 -10.6  995  64  1.1 4  1.7  97    0    0 212 -307  2
3936500 2463500  1 10 24 -10.5  995 114  1.7 3  1.7  98    0    0 209 -307  2
3936500 2463500  1 11  1 -10.1  995 154  1.6 3  1.7  97    0    0 205 -309  2
3936500 2463500  1 11  2  -9.6  995 166  2.3 2  1.8  98    0    0 204 -310  2
3936500 2463500  1 11  3  -9.3  996 189  2.3 3  1.9  99    0    0 204 -312  2
3936500 2463500  1 11  4  -9.7  995 279  1.5 4  1.8  96    0    0 210 -313  2
3936500 2463500  1 11  5 -10.7  994 260  1.1 2  1.7  96    0    0 205 -314  2
3936500 2463500  1 11  6 -10.9  995   3  1.6 2  1.6  96    0    0 195 -313  2
3936500 2463500  1 11  7 -11.3  995 110  2.3 0  1.5  93    0    0 186 -312  2
3936500 2463500  1 11  8 -11.5  995 140  2.0 4  1.5  93    0    0 195 -313  2
3936500 2463500  1 11  9 -10.0  995 143  2.3 4  1.6  96    0    3 215 -313  2
3936500 2463500  1 11 10  -7.6  996 152  2.6 4  1.9  96   16   58 222 -311  2
3936500 2463500  1 11 11  -6.5  996 185  2.9 4  2.2  96  101   82 226 -311  2
3936500 2463500  1 11 12  -3.7  996 143  1.2 4  2.4  92  153   96 230 -315  2
3936500 2463500  1 11 13  -1.6  996 138  2.9 4  2.7  85  145  114 236 -318  2
3936500 2463500  1 11 14  -0.4  995 139  3.3 3  2.8  77  120  113 234 -318  2
3936500 2463500  1 11 15   1.1  994 144  3.5 0  2.8  72  128   74 213 -318  2
3936500 2463500  1 11 16   0.9  994 151  3.7 2  2.9  70   76   44 207 -318  2
3936500 2463500  1 11 17   0.3  993 150  2.9 2  2.9  71    6   15 219 -317  2
3936500 2463500  1 11 18  -0.5  994 218  1.6 3  2.9  74    0    0 224 -316  2
3936500 2463500  1 11 19  -0.4  994 209  3.2 6  2.9  78    0    0 247 -315  2
3936500 2463500  1 11 20   0.2  994 187  2.8 6  3.0  78    0    0 267 -316  2
3936500 2463500  1 11 21   0.3  993 185  2.1 8  3.1  78    0    0 279 -316  2
3936500 2463500  1 11 22  -0.5  994  83  2.3 7  3.1  81    0    0 284 -317  2
3936500 2463500  1 11 23  -0.8  994 118  1.8 7  3.1  85    0    0 279 -319  2
